Game,M-4,M-3,M-2,M-1,Launch Month,M1,M2,M3,M4,Genre
Diablo IV,0.024,0.177,0.015,0.13,1,0.052,0.017,0.006,0.015,Role Playing
Hogwarts Legacy,0.003,0.005,0.019,0.146,1,0.069,0.008,0.007,0.003,Role Playing
Cyberpunk 2077,0.003,0.008,0.031,0.064,1,0.154,0.043,0.035,0.036,Role Playing
Battlefield 2042,0.033,0.067,0.075,0.296,1,0.235,0.09,0.046,0.002,Shooter
Call of Duty: Vanguard,0,0.079,0.153,0.075,1,0.197,0.162,0.183,0.032,Shooter
Elden Ring,0,0.032,0.012,0.067,1,0.66,0.144,0.062,0.037,Role Playing
Marvel's Spider-Man Remastered,0,0,0,0.136,1,0.142,0.046,0.056,0.051,Adventure
New World,0.003,0.004,0.338,0.037,1,0.697,0.03,0.01,0.011,Role Playing
Starfield,0,0.031,0.02,0.337,1,0.045,0.012,0.013,0.007,Role Playing
Need for Speed Unbound,0,0,0.053,0.219,1,0.113,0.031,0.015,0.017,Racing
Black Myth: Wukong,0,0,0.021,0.014,1,0,0,0,0,Role Playing
EA Sports FC 24,0,0,0.095,0.2,1,0.413,0.063,0.094,0.095,Sports
Dying Light 2,0,0,0.01,0.099,1,0.046,0.026,0.024,0.022,Adventure
Helldivers 2,0,0,0,0.008,1,0.381,0.113,0.042,0.019,Shooter
Remnant II,0,0,0,0.05,1,0.636,0.02,0.058,0.116,Role Playing
LEGO Star Wars: The Skywalker Saga,0,0.016,0.012,0.113,1,0.072,0.055,0.028,0.014,Adventure
Far Cry 6,0,0,0,0.076,1,0.323,0.129,0.182,0.133,Shooter
Armored Core VI: Fires of Rubicon,0.03,0.013,0,0.035,1,0.187,0.01,0.019,0.025,Shooter
Forza Horizon 5,0,0.004,0.021,0.109,1,0.11,0.07,0.03,0.028,Racing
Mortal Kombat 1,0.024,0.025,0.031,0.104,1,0.263,0.065,0.077,0.021,Fighting
Payday 3,0,0.074,0.027,0.124,1,0.045,0.012,0.01,0.005,Shooter
Cities: Skylines II,0.1,0.063,0.029,0.087,1,0.248,0.091,0.061,0.047,Simulation
Ghost of Tsushima,0,0,0.047,0.028,1,0.513,0.126,0.092,0,Adventure
